,budget,genres,keywords,overview,popularity,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,tagline,vote_average,vote_count,cast,director,year,month,return_rate
39,170000000,"['Adventure', 'Action', 'Science Fiction']","['artificial intelligence', 'secret identity', 'computer program', 'dystopia', 'computer', 'deception', 'duel', 'motorcycle', 'neon light', 'autocracy']","Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",73.79505,"['Walt Disney Pictures', 'LivePlanet', 'Prana Studios', 'Sean Bailey Productions', 'Revolution Sun Studios', 'Kontsept Film Company']",['United States of America'],2010-12-10,400062763,125.0,['English'],The Game Has Changed.,6.3,2841,"[""['Garrett Hedlund'"", "" 'Jeff Bridges'""]",Joseph Kosinski,2010,12,135.3310370588235
49,105000000,"['Drama', 'Romance']","['based on novel', 'infidelity', 'obsession', 'hope', '3d']","An adaptation of F. Scott Fitzgerald's Long Island-set novel, where Midwesterner Nick Carraway is lured into the lavish world of his neighbor, Jay Gatsby. Soon enough, however, Carraway will see through the cracks of Gatsby's nouveau riche existence, where obsession, madness, and tragedy await.",61.196070999999996,"['Village Roadshow Pictures', 'Bazmark Films', 'Warner Bros.', 'A&E Television Networks', 'Red Wagon Entertainment', 'Spectrum Films']","['United States of America', 'Australia']",2013-05-10,351040419,143.0,['English'],Reserving judgments is a matter of infinite hope... I come to the admission that it has a limit.,7.3,3769,"[""['Leonardo DiCaprio'"", "" 'Tobey Maguire'""]",Baz Luhrmann,2013,05,234.32420857142856
50,150000000,"['Adventure', 'Fantasy', 'Action', 'Romance']","['persia', 'sandstorm', 'brother against brother', 'armageddon', 'regent', 'based on video game']","A rogue prince reluctantly joins forces with a mysterious princess and together, they race against dark forces to safeguard an ancient dagger capable of releasing the Sands of Time – gift from the gods that can reverse time and allow its possessor to rule the world.",62.169881000000004,"['Walt Disney Pictures', 'Jerry Bruckheimer Films']",['United States of America'],2010-05-19,335154643,116.0,['English'],Defy the Future,6.2,2317,"[""['Jake Gyllenhaal'"", "" 'Gemma Arterton'""]",Mike Newell,2010,05,123.43642866666667
58,140000000,"['Action', 'Comedy', 'Crime', 'Thriller']",['ambassador'],"After an attempted assassination on Ambassador Han, Inspector Lee and Detective Carter are back in action as they head to Paris to protect a French woman with knowledge of the Triads' secret leaders. Lee also holds secret meetings with a United Nations authority, but his personal struggles with a Chinese criminal mastermind named Kenji, which reveals that it's Lee's long-lost...brother.",22.57178,['New Line Cinema'],['United States of America'],2007-08-08,258022233,91.0,"['Latin', 'English', 'Français', '日本語', '普通话']",The Rush Is On!,6.1,783,"[""['Chris Tucker'"", "" 'Jackie Chan'""]",Brett Ratner,2007,08,84.301595
68,140000000,"['Action', 'Science Fiction', 'Adventure']","['middle east', 'arms dealer', 'malibu', 'marvel comic', 'superhero', 'based on comic book', 'tony stark', 'iron man', 'aftercreditsstinger', 'marvel cinematic universe', 'counter terrorism', 'agent coulson']","After being held captive in an Afghan cave, billionaire engineer Tony Stark creates a unique weaponized suit of armor to fight evil.",120.725053,['Marvel Studios'],['United States of America'],2008-04-30,585174222,126.0,"['English', 'فارسی', 'اردو', 'العربية']",Heroes aren't born. They're built.,7.4,8776,"[""['Robert Downey Jr.'"", "" 'Terrence Howard'""]",Jon Favreau,2008,04,317.98158714285717
69,170000000,"['Adventure', 'Drama', 'Family']","['library', 'clock', 'film director', 'key', 'toy', 'boy', 'love', 'orphan', 'robot', 'automaton', 'hiding', 'filmmaking', 'leg brace', 'doberman', '3d']","Hugo is an orphan boy living in the walls of a train station in 1930s Paris. He learned to fix clocks and other gadgets from his father and uncle which he puts to use keeping the train station clocks running. The only thing that he has left that connects him to his dead father is an automaton (mechanical man) that doesn't work without a special key which Hugo needs to find to unlock the secret he believes it contains. On his adventures, he meets with a shopkeeper, George Melies, who works in the train station and his adventure-seeking god-daughter. Hugo finds that they have a surprising connection to his father and the automaton, and he discovers it unlocks some memories the old man has buried inside regarding his past.",32.319043,"['Paramount Pictures', 'Infinitum Nihil', 'GK Films']","['France', 'United States of America', 'United Kingdom']",2011-11-22,185770160,126.0,['English'],One of the most legendary directors of our time takes you on an extraordinary adventure.,7.0,2141,"[""['Ben Kingsley'"", "" 'Sacha Baron Cohen'""]",Martin Scorsese,2011,11,9.276564705882361
70,170000000,"['Action', 'Adventure', 'Comedy', 'Science Fiction', 'Western']","['steampunk', 'based on tv series', 'steam locomotive', 'drag']",Legless Southern inventor Dr. Arliss Loveless plans to rekindle the Civil War by assassinating President U.S. Grant. Only two men can stop him: gunfighter James West and master-of-disguise and inventor Artemus Gordon. The two must team up to thwart Loveless' plans.,40.748915000000004,"['Todman, Simon, LeMasters Productions', 'Warner Bros.', 'Peters Entertainment', 'Sonnenfeld Josephson Worldwide Entertainment']",['United States of America'],1999-06-29,222104681,106.0,['English'],It's a whole new west.,5.1,1020,"[""['Will Smith'"", "" 'Kevin Kline'""]",Barry Sonnenfeld,1999,06,30.649812352941176
71,145000000,"['Adventure', 'Action', 'Fantasy']",[],"Archaeologist Rick O'Connell travels to China, pitting him against an emperor from the 2,000-year-old Han dynasty who's returned from the dead to pursue a quest for world domination. This time, O'Connell enlists the help of his wife and son to quash the so-called 'Dragon Emperor' and his abuse of supernatural power.",60.034162,"['Universal Pictures', 'China Film Co-Production Corporation', 'Relativity Media', 'Alphaville Films', 'Sommers Company, The']","['Germany', 'United States of America']",2008-07-01,401128639,112.0,"['English', '普通话', '']",A New Evil Awakens.,5.2,1387,"[""['Brendan Fraser'"", "" 'Jet Li'""]",Rob Cohen,2008,07,176.64044068965518
80,170000000,"['Adventure', 'Fantasy', 'Drama']","['queen', 'magic', 'fairy tale', 'immortality', 'forest', 'deception', 'woman', 'eternal youth', 'snow white', 'evil queen', 'evil stepmother', 'imprisoned', 'sorceress']","After the Evil Queen marries the King, she performs a violent coup in which the King is murdered and his daughter, Snow White, is taken captive. Almost a decade later, a grown Snow White is still in the clutches of the Queen. In order to obtain immortality, The Evil Queen needs the heart of Snow White. After Snow escapes the castle, the Queen sends the Huntsman to find her in the Dark Forest.",77.178973,"['Universal Pictures', 'Roth Films']",['United States of America'],2012-05-30,396600000,127.0,['English'],The Fairytale is Over,5.8,3118,"[""['Kristen Stewart'"", "" 'Charlize Theron'""]",Rupert Sanders,2012,05,133.29411764705884
88,165000000,"['Adventure', 'Family', 'Animation', 'Action', 'Comedy']","['brother brother relationship', 'hero', 'talent', 'revenge', 'best friend', 'another dimension', 'robot', 'boy genius', 'hate', 'aftercreditsstinger', 'moral dilemma', '3d', 'teen superheroes', 'dead brother']","The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.",203.73459,"['Walt Disney Pictures', 'Walt Disney Animation Studios']",['United States of America'],2014-10-24,652105443,102.0,['English'],From the creators of Wreck-it Ralph and Frozen,7.8,6135,"[""['Scott Adsit'"", "" 'Ryan Potter'""]",Chris Williams,2014,10,295.21542
89,165000000,"['Family', 'Animation', 'Comedy', 'Adventure']","['support group', 'product placement', 'bullying', 'racing', 'arcade', 'medal', 'self esteem', 'curiosity', 'precocious child', 'aftercreditsstinger', 'duringcreditsstinger', 'first person shooter', 'glitch', 'carefree', 'video gamer', 'q*bert', 'interrupted wedding', 'social reject']","Wreck-It Ralph is the 9-foot-tall, 643-pound villain of an arcade video game named Fix-It Felix Jr., in which the game's titular hero fixes buildings that Ralph destroys. Wanting to prove he can be a good guy and not just a villain, Ralph escapes his game and lands in Hero's Duty, a first-person shooter where he helps the game's hero battle against alien invaders. He later enters Sugar Rush, a kart racing game set on tracks made of candies, cookies and other sweets. There, Ralph meets Vanellope von Schweetz who has learned that her game is faced with a dire threat that could affect the entire arcade, and one that Ralph may have inadvertently started.",62.341073,['Walt Disney Animation Studios'],['United States of America'],2012-11-01,471222889,108.0,['English'],The story of a regular guy just looking for a little wreck-ognition.,7.1,4570,"[""['John C. Reilly'"", "" 'Sarah Silverman'""]",Rich Moore,2012,11,185.5896296969697
90,165000000,"['Adventure', 'Animation', 'Family', 'Fantasy']","['santa claus', 'nerd', 'faith', 'gift', 'bell', 'beard', 'north pole', 'chute', 'trestle', 'ticket', 'christmas']","When a doubting young boy takes an extraordinary train ride to the North Pole, he embarks on a journey of self-discovery that shows him that the wonder of life never fades for those who believe.",47.323228,"['Golden Mean', 'Playtone', 'ImageMovers']",['United States of America'],2004-11-10,305875730,100.0,['English'],This holiday season... believe.,6.4,1474,"[""['Tom Hanks'"", "" 'Michael Jeter'""]",Robert Zemeckis,2004,11,85.3792303030303
